mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Colour,Answer,Response.keys,Response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Word,Type,participant,session,id,group,date,expName,psychopyVersion,OS,frameRate,outer_loop.thisRepN,outer_loop.thisTrialN,outer_loop.thisN,outer_loop.thisIndex,outer_loop.ran
0.128571429,-0.421428571,1,0,0,blue,f,,0,0,0,0,0,1,gradual,Practice,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,1,1,3,1,carrier,Practice,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,2,2,9,1,bulletin,Practice,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,blue,f,,0,0,3,3,4,1,careful,Practice,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,4,4,11,1,cloakroom,Practice,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,5,5,13,1,back,Practice,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,blue,f,,0,0,6,6,5,1,overall,Practice,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,red,d,,0,0,7,7,1,1,primate,Practice,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,8,8,14,1,crumb,Practice,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,9,9,12,1,area,Practice,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,10,10,8,1,shoulder,Practice,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,red,d,,0,0,11,11,10,1,describe,Practice,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,12,12,7,1,backdrop,Practice,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,red,d,,0,0,13,13,2,1,distant,Practice,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,14,14,6,1,gardener,Practice,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,,,,,,,,,,,,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,0,0,0,0,1
,,,,,yellow,j,,0,0,0,0,16,1,involvement,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,blue,f,,0,0,1,1,1,1,plywood,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,2,2,4,1,conservative,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,blue,f,,0,0,3,3,29,1,clipboard,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,red,d,,0,0,4,4,19,1,asparagus,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,5,5,22,1,tartar,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,6,6,26,1,solitary,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,7,7,12,1,appendix,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,red,d,,0,0,8,8,18,1,almond,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,9,9,8,1,oven,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,10,10,17,1,derive,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,blue,f,,0,0,11,11,9,1,bathroom,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,12,12,20,1,clinic,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,13,13,5,1,basis,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,blue,f,,0,0,14,14,11,1,abbey,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,15,15,3,1,acre,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,red,d,,0,0,16,16,28,1,basket,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,red,d,,0,0,17,17,21,1,adjacent,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,blue,f,,0,0,18,18,25,1,hole,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,red,d,,0,0,19,19,15,1,biscuit,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,blue,f,,0,0,20,20,23,1,accept,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,blue,f,,0,0,21,21,14,1,lens,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,22,22,0,1,silverware,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,blue,f,,0,0,23,23,27,1,dozen,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,24,24,7,1,allow,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,25,25,10,1,omission,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,red,d,,0,0,26,26,13,1,weatherman,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,27,27,6,1,branch,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,red,d,,0,0,28,28,2,1,author,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,29,29,24,1,consulate,Neutral,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,,,,,,,,,,,,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,1,0,1,0,1
,,,,,red,d,,0,0,0,0,19,1,thrilling,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,red,d,,0,0,1,1,16,1,spectacular,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,blue,f,,0,0,2,2,9,1,festival,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,red,d,,0,0,3,3,6,1,winner,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,4,4,28,1,invent,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,red,d,,0,0,5,5,18,1,joyful,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,6,6,4,1,intelligence,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,7,7,7,1,happy,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,8,8,5,1,magic,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,9,9,2,1,energy,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,10,10,25,1,joke,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,red,d,,0,0,11,11,10,1,intimacy,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,12,12,3,1,swim,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,blue,f,,0,0,13,13,1,1,prosper,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,14,14,21,1,treasure,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,blue,f,,0,0,15,15,24,1,seduction,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,16,16,11,1,adore,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,blue,f,,0,0,17,17,15,1,bravery,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,blue,f,,0,0,18,18,0,1,enchanting,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,red,d,,0,0,19,19,17,1,cinema,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,20,20,8,1,sexy,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,21,21,22,1,amazed,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,22,22,14,1,hire,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,23,23,27,1,alive,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,24,24,12,1,pregnant,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,25,25,26,1,comedian,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,26,26,29,1,rewarding,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,blue,f,,0,0,27,27,20,1,genius,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,red,d,,0,0,28,28,13,1,cleverness,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,blue,f,,0,0,29,29,23,1,travel,Positive,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,,,,,,,,,,,,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,2,0,2,0,1
,,,,,red,d,,0,0,0,0,11,1,fatal,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,1,1,19,1,kidnapper,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,2,2,2,1,attack,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,3,3,10,1,epidemic,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,4,4,15,1,hateful,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,red,d,,0,0,5,5,4,1,catastrophic,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,blue,f,,0,0,6,6,8,1,debt,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,7,7,25,1,pain,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,8,8,7,1,death,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,9,9,6,1,crisis,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,10,10,13,1,guillotine,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,11,11,29,1,terrorism,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,12,12,28,1,racism,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,red,d,,0,0,13,13,9,1,disaster,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,blue,f,,0,0,14,14,18,1,hijack,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,red,d,,0,0,15,15,17,1,herpes,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,red,d,,0,0,16,16,22,1,mugger,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,17,17,20,1,killer,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,18,18,16,1,heartbroken,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,red,d,,0,0,19,19,21,1,massacre,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,20,20,1,1,assault,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,red,d,,0,0,21,21,24,1,nightmare,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,blue,f,,0,0,22,22,23,1,murder,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,blue,f,,0,0,23,23,27,1,worry,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,red,d,,0,0,24,24,12,1,genocide,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,blue,f,,0,0,25,25,3,1,bury,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,26,26,0,1,infidelity,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,blue,f,,0,0,27,27,5,1,crime,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,green,k,,0,0,28,28,14,1,harm,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,yellow,j,,0,0,29,29,26,1,parasite,Negative,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,,,,,
,,,,,,,,,,,,,,,,666,,,,2023-02-27_19h05.13.249,estroop,2021.2.3,iPhone,62.5,3,0,3,0,1
